barcode,manufacturer,film,type,amount
4902520273604,Fujifilm,pro160s,120,5
4547410247749,Fujifilm,pro400h,120,5
041773833433,Kodak,plusx,35mm,1
041771201296,Kodak,ektarchrome64t,120,1
041771511050,Kodak,TechnicalPan,120,1
019498182433,Harman,phoenix2,120,1
041777519586,Kodak,ektacolor400,35mm,5
086806031332,Kodak,ektar100,35mm,1
8593346115603,Fomapan,foma400,120,1
019498740660,Ilford,delta400,120,1
019498014826,Kentmere,pan400,120,1
019498743399,Ilford,delta100,120,1
4024953810017,rollei,rpx100,120,1
4547410426564,Fujifilm,acros,120,1
8593346147413,Fomapan,ortho400,120,1
041771965594,kodak,trix400,120,1
4024953825011,rollei,rpx25,120,1
4024951218112,rollei,infrared,120,1
019498629013,Ilford,hp5,120,1
019498706592,Ilford,panf,120,1
8593346111742,Fomapan,foma100,4x5,50
041771376215,Kodak,portra100t,4x5,10
4547410247763,Fujifilm,provia100f,4x5,20
8593346147420,Fomapan,ortho400,4x5,25
8593346115702,Fomapan,foma400,4x5,25
041771587482,Kodak,ektar100,4x5,10
086806031677,Kodak,portra400,35mm,5
041778331507,Kodak,portra400,120,5
041777519524,Kodak,ektacolor400,35mm,1
041771451851,Kodak,portra800,35mm,1
086806034463,Kodak,proimage100,35mm,5
041778667071,Kodak,trix400,35mm,1
041771153656,Kodak,trix400,120,5
041773838537,kodak,tmax100,35mm,1
041778572276,kodak,tmax100,120,5
041773833327,Kodak,tmax400,35mm,1
041771516796,Kodak,tmax3200,35mm,1
01949892153,Ilford,delta3200,120,1
019498887710,Ilford,delta3200,35mm,1
086806031950,Kodak,portra160,35mm,5
019498180965,Ilford,ortho80,120,1
019498901027,Ilford,sfx200,120,1
019498839641,Ilford,xp2,120,1
019498839573,Ilford,xp2,35mm,1
4547410465013,Fujifilm,200,35mm,1
074101242492,Fujifilm,200,35mm,3
4547410465020,Fujifilm,400,35mm,1
4902520187062,Fujifilm,provia100f,120,5
4547410247626,Fujifilm,provia100f,35mm,1
4547410246162,Fujifilm,velvia100,35mm,1
074101004151,Fujifilm,pro400h,35mm,1
8593346111612,Fomapan,foma100,120,1
8593346111315,Fomapan,foma100,35mm,1
4250255100444,agfa,apx100,35mm,1
614572904200,arista,edu400,120,1
4260243554814,cinestill,400d,120,1
4260243554807,cinestill,400d,35mm,1
4260243553602,cinestill,50d,35mm,1
4260243554159,cinestill,800t,120,1
4260243553596,cinestill,800t,35mm,1
4260243554289,cinestill,xx,120,1
019498678165,Ilford,fp4,120,1
019498700682,Ilford,fp4,35mm,1
019498015069,Kentmere,pan200,120,1
019498012365,Kentmere,pan100,120,1
019498015052,Kentmere,pan200,35mm,1
019498010477,Kentmere,pan400,35mm,1
041771884574,Kodak,Ektachrome100,35mm,1
4024953810116,rollei,rpx100,35mm,1
402493840113,rollei,rpx400,35mm,1
