DX extract;DX full;Name;Original Film or informations;Manufacturer;reliability;Country;Beginning year;End year;Distributor;Ava;Pic
0291;002910;3M Scotch ColorPrint HR200 Gen 2 #ScotchColor;;3M / Ferrania;;;~1984;;;0;
0293;002930;3M Scotch ColorPrint HR400 Gen 2 #ScotchColor;;3M / Ferrania;;;~1984;;;0;ScotchHR400.jpg
0259;002593;3M ScotchChrome 400;;3M / Ferrania;;;;1988;;0;ScotchChrome400.jpg
0259;002593;3M ScotchChrome 400 (Improved);US version of ScotchChrome 800/3200;3M / Ferrania;;;1988;;;0;ScotchChrome400.jpg
0259;002593;3M ScotchChrome 800/3200;;3M / Ferrania;;;1972;1988;;0;ScotchChrome800-3200.jpg
0259;002593;3M ScotchChrome 800/3200 (Improved);EU version of ScotchChrome 400;3M / Ferrania;;;1988;2001;;0;ScotchChrome800-3200.jpg
0295;002950;3M ScotchColor AT100;;3M / Ferrania;;;;;;0;
0297;002970;3M ScotchColor AT200;;3M / Ferrania;;;;;;0;
0296;002960;3M ScotchColor AT400;;3M / Ferrania;;;;;;0;
0296;002960;3M ScotchColor HR2 400;;3M / Ferrania;;;;;;0;
1701;417010;45Color Iso 400;;;;Made in Japan;;;;0;45Color400.jpg
0453;004533;ACME Film for true colour prints SUPER VX 100 #SVX100 superVX100;Konica VX100 Super;;4;;;;;0;
0462;004623;ACME Film for true colour prints SUPER VX 400 #SVX400 superVX400;Konica VX400 Super;;4;;;;;0;
0057;000574;AGFA AGFACHROME CT Precisa 100 Ctprecisa EXCL;Ctx with improved color fidelity;;;Made in Germany;1998;2005;;0;AgfaCT100.jpg
0118;001180;AGFA AGFACHROME CT Precisa 200 Ctprecisa;Ctx with improved color fidelity;;;Made in Germany;1998;2005;;0;AgfaCT200.jpg
0051;000514;AGFA Agfachrome CT100 / 100S;Replaced CT 64;;;Made in Germany;1985;1986;;0;AgfaChromeCT100red.jpg
0053;000534;AGFA Agfachrome CT100 / 100S (gradation improved) EXCL;;;;Made in Germany;1986;1988;;0;AgfaChromeCT100EXCL.jpg
0053;;AGFA Agfachrome CT100 / 100S (shades improved);;;;Made in Germany;1988;1992;;0;AgfaCT100First.jpg
0053;;AGFA Agfachrome CT100 Professional;US Market only;;;Made in Germany;1984~1986;~1988 ?;;0;AgfachhrromeCT100pro.jpg
0054;000540;AGFA AGFACHROME CT100i;Improved CT 100 (gradation and hue values);Agfa-Gevaert AG;;Made in Germany;1992;1994;;0;AgfachromeCT100i.jpg
0117;;AGFA Agfachrome CT200 / 200S;Improved Agfachrome 200;;;Made in Germany;1984;1992;;0;AgfaChromeCT200.jpg
0117;001170;AGFA Agfachrome CT200 improved;Improved color reproduction;;;Made in Germany;1992;1995;;0;AgfachromeCT200new.jpg
0057;000570;AGFA AGFACHROME CTX100;;;;Made in Germany;1994;1998;;0;AgfachromeCTX100.jpg
0118;001180;AGFA AGFACHROME CTX200;;;;Made in Germany;1994;1998;;0;AgfachromeCTX200.jpg
0054;000540;AGFA AGFACHROME RS 100 Plus Professional #100RS RS100+ RS100plus;Agfachrome 100RS with Gradation and shades improved;Agfa-Gevaert AG;;Made in Germany;1992;1995;;0;AgfaChrome100RSplus.jpg
0096;000960;AGFA AGFACHROME RS 1000 Professional (new box, same emulsion) #1000RS RS1000;All RS line upgraded, except 1000RS…;Agfa-Gevaert AG;;Made in Germany;1989;1995;;0;Agfachrome1000RS.jpg
0096;000960;AGFA AGFACHROME RS 1000 Professional #1000RS RS1000;;Agfa-Gevaert AG;;Made in Germany;1984;1989;;0;Agfachrome1000RSfirst.jpg
0117;001170;AGFA AGFACHROME RS 200 Plus #200RS RS200plus RS200+;Agfachrome 200RS with Gradation and shades improved;Agfa-Gevaert AG;;Made in Germany;1992;1995;;0;
0117;001170;AGFA AGFACHROME RS 200 Professional (improved) #200RS RS200;;Agfa-Gevaert AG;;Made in Germany;1989;1992;;0;Agfachrome200RSsilver.jpg
0117;001170;AGFA AGFACHROME RS 200 Professional #200RS RS200;;Agfa-Gevaert AG;;Made in Germany;1984;1989;;0;Agfachrome200RS.jpg
